scenario,group,scenario_folder,mode,images,audio,run_id,multi
scenario1,noite,scenario1N,night,15,scenario1_audio3,img15_aud3,False
scenario1,noite,scenario1N,night,58,scenario1_audio3,img58_aud3,False
scenario1,noite,scenario1N,night,"12,13",scenario1_audio3,img12_img13_aud3,True
scenario1,noite,scenario1N,night,"12,14",scenario1_audio3,img12_img14_aud3,True
scenario1,noite,scenario1N,night,"12,15",scenario1_audio3,img12_img15_aud3,True
scenario1,noite,scenario1N,night,"12,58",scenario1_audio3,img12_img58_aud3,True
scenario1,noite,scenario1N,night,"13,14",scenario1_audio3,img13_img14_aud3,True
scenario1,noite,scenario1N,night,"13,15",scenario1_audio3,img13_img15_aud3,True
scenario1,noite,scenario1N,night,"13,58",scenario1_audio3,img13_img58_aud3,True
scenario1,noite,scenario1N,night,"14,15",scenario1_audio3,img14_img15_aud3,True
scenario1,noite,scenario1N,night,"14,58",scenario1_audio3,img14_img58_aud3,True
scenario1,noite,scenario1N,night,"15,58",scenario1_audio3,img15_img58_aud3,True
scenario1,dia,scenario1D,day,26,scenario1_audio1,img26_aud1,False
scenario1,dia,scenario1D,day,27,scenario1_audio1,img27_aud1,False
scenario1,dia,scenario1D,day,28,scenario1_audio1,img28_aud1,False
scenario1,dia,scenario1D,day,29,scenario1_audio1,img29_aud1,False
scenario1,dia,scenario1D,day,57,scenario1_audio1,img57_aud1,False
scenario1,dia,scenario1D,day,"26,27",scenario1_audio1,img26_img27_aud1,True
scenario1,dia,scenario1D,day,"26,28",scenario1_audio1,img26_img28_aud1,True
scenario1,dia,scenario1D,day,"26,29",scenario1_audio1,img26_img29_aud1,True
scenario1,dia,scenario1D,day,"26,57",scenario1_audio1,img26_img57_aud1,True
scenario1,dia,scenario1D,day,"27,28",scenario1_audio1,img27_img28_aud1,True
scenario1,dia,scenario1D,day,"27,29",scenario1_audio1,img27_img29_aud1,True
scenario1,dia,scenario1D,day,"27,57",scenario1_audio1,img27_img57_aud1,True
scenario1,dia,scenario1D,day,"28,29",scenario1_audio1,img28_img29_aud1,True
